odID	OrderID	ProductID	UnitPrice	Quantity	Discount
1	10248	11	0	12	0
2	10248	42	0	10	0
3	10248	72	0	5	0
4	10249	14	0	9	0
5	10249	51	0	40	0
6	10250	41	0	10	0
7	10250	51	0	35	0
8	10250	65	0	15	0
9	10251	22	0	6	0
10	10251	57	0	15	0
11	10251	65	0	20	0
12	10252	20	0	40	0
13	10252	33	0	25	0
14	10252	60	0	40	0
15	10253	31	0	20	0
16	10253	39	0	42	0
17	10253	49	0	40	0
18	10254	24	0	15	0
19	10254	55	0	21	0
20	10254	74	0	21	0
21	10255	2	0	20	0
22	10255	16	0	35	0
23	10255	36	0	25	0
24	10255	59	0	30	0
25	10256	53	0	15	0
26	10256	77	0	12	0
27	10257	27	0	25	0
28	10257	39	0	6	0
29	10257	77	0	15	0
30	10258	2	0	50	0
31	10258	5	0	65	0
32	10258	32	0	6	0
33	10259	21	0	10	0
34	10259	37	0	1	0
35	10260	41	0	16	0
36	10260	57	0	50	0
37	10260	62	0	15	0
38	10260	70	0	21	0
39	10261	21	0	20	0
40	10261	35	0	20	0
41	10262	5	0	12	0
42	10262	7	0	15	0
43	10262	56	0	2	0
44	10263	16	0	60	0
45	10263	24	0	28	0
46	10263	30	0	60	0
47	10263	74	0	36	0
48	10264	2	0	35	0
49	10264	41	0	25	0
50	10265	17	0	30	0
51	10265	70	0	20	0
52	10266	12	0	12	0
53	10267	40	0	50	0
54	10267	59	0	70	0
55	10267	76	0	15	0
56	10268	29	0	10	0
57	10268	72	0	4	0
58	10269	33	0	60	0
59	10269	72	0	20	0
60	10270	36	0	30	0
61	10270	43	0	25	0
62	10271	33	0	24	0
63	10272	20	0	6	0
64	10272	31	0	40	0
65	10272	72	0	24	0
66	10273	10	0	24	0
67	10273	31	0	15	0
68	10273	33	0	20	0
69	10273	40	0	60	0
70	10273	76	0	33	0
71	10274	71	0	20	0
72	10274	72	0	7	0
73	10275	24	0	12	0
74	10275	59	0	6	0
75	10276	10	0	15	0
76	10276	13	0	10	0
77	10277	28	0	20	0
78	10277	62	0	12	0
79	10278	44	0	16	0
80	10278	59	0	15	0
81	10278	63	0	8	0
82	10278	73	0	25	0
83	10279	17	0	15	0
84	10280	24	0	12	0
85	10280	55	0	20	0
86	10280	75	0	30	0
87	10281	19	0	1	0
88	10281	24	0	6	0
89	10281	35	0	4	0
90	10282	30	0	6	0
91	10282	57	0	2	0
92	10283	15	0	20	0
93	10283	19	0	18	0
94	10283	60	0	35	0
95	10283	72	0	3	0
96	10284	27	0	15	0
97	10284	44	0	21	0
98	10284	60	0	20	0
99	10284	67	0	5	0
100	10285	1	0	45	0
101	10285	40	0	40	0
102	10285	53	0	36	0
103	10286	35	0	100	0
104	10286	62	0	40	0
105	10287	16	0	40	0
106	10287	34	0	20	0
107	10287	46	0	15	0
108	10288	54	0	10	0
109	10288	68	0	3	0
110	10289	3	0	30	0
111	10289	64	0	9	0
112	10290	5	0	20	0
113	10290	29	0	15	0
114	10290	49	0	15	0
115	10290	77	0	10	0
116	10291	13	0	20	0
117	10291	44	0	24	0
118	10291	51	0	2	0
119	10292	20	0	20	0
120	10293	18	0	12	0
121	10293	24	0	10	0
122	10293	63	0	5	0
123	10293	75	0	6	0
124	10294	1	0	18	0
125	10294	17	0	15	0
126	10294	43	0	15	0
127	10294	60	0	21	0
128	10294	75	0	6	0
129	10295	56	0	4	0
130	10296	11	0	12	0
131	10296	16	0	30	0
132	10296	69	0	15	0
133	10297	39	0	60	0
134	10297	72	0	20	0
135	10298	2	0	40	0
136	10298	36	0	40	0
137	10298	59	0	30	0
138	10298	62	0	15	0
139	10299	19	0	15	0
140	10299	70	0	20	0
141	10300	66	0	30	0
142	10300	68	0	20	0
143	10301	40	0	10	0
144	10301	56	0	20	0
145	10302	17	0	40	0
146	10302	28	0	28	0
147	10302	43	0	12	0
148	10303	40	0	40	0
149	10303	65	0	30	0
150	10303	68	0	15	0
151	10304	49	0	30	0
152	10304	59	0	10	0
153	10304	71	0	2	0
154	10305	18	0	25	0
155	10305	29	0	25	0
156	10305	39	0	30	0
157	10306	30	0	10	0
158	10306	53	0	10	0
159	10306	54	0	5	0
160	10307	62	0	10	0
161	10307	68	0	3	0
162	10308	69	0	1	0
163	10308	70	0	5	0
164	10309	4	0	20	0
165	10309	6	0	30	0
166	10309	42	0	2	0
167	10309	43	0	20	0
168	10309	71	0	3	0
169	10310	16	0	10	0
170	10310	62	0	5	0
171	10311	42	0	6	0
172	10311	69	0	7	0
173	10312	28	0	4	0
174	10312	43	0	24	0
175	10312	53	0	20	0
176	10312	75	0	10	0
177	10313	36	0	12	0
178	10314	32	0	40	0
179	10314	58	0	30	0
180	10314	62	0	25	0
181	10315	34	0	14	0
182	10315	70	0	30	0
183	10316	41	0	10	0
184	10316	62	0	70	0
185	10317	1	0	20	0
186	10318	41	0	20	0
187	10318	76	0	6	0
188	10319	17	0	8	0
189	10319	28	0	14	0
190	10319	76	0	30	0
191	10320	71	0	30	0
192	10321	35	0	10	0
193	10322	52	0	20	0
194	10323	15	0	5	0
195	10323	25	0	4	0
196	10323	39	0	4	0
197	10324	16	0	21	0
198	10324	35	0	70	0
199	10324	46	0	30	0
200	10324	59	0	40	0
201	10324	63	0	80	0
202	10325	6	0	6	0
203	10325	13	0	12	0
204	10325	14	0	9	0
205	10325	31	0	4	0
206	10325	72	0	40	0
207	10326	4	0	24	0
208	10326	57	0	16	0
209	10326	75	0	50	0
210	10327	2	0	25	0
211	10327	11	0	50	0
212	10327	30	0	35	0
213	10327	58	0	30	0
214	10328	59	0	9	0
215	10328	65	0	40	0
216	10328	68	0	10	0
217	10329	19	0	10	0
218	10329	30	0	8	0
219	10329	38	0	20	0
220	10329	56	0	12	0
221	10330	26	0	50	0
222	10330	72	0	25	0
223	10331	54	0	15	0
224	10332	18	0	40	0
225	10332	42	0	10	0
226	10332	47	0	16	0
227	10333	14	0	10	0
228	10333	21	0	10	0
229	10333	71	0	40	0
230	10334	52	0	8	0
231	10334	68	0	10	0
232	10335	2	0	7	0
233	10335	31	0	25	0
234	10335	32	0	6	0
235	10335	51	0	48	0
236	10336	4	0	18	0
237	10337	23	0	40	0
238	10337	26	0	24	0
239	10337	36	0	20	0
240	10337	37	0	28	0
241	10337	72	0	25	0
242	10338	17	0	20	0
243	10338	30	0	15	0
244	10339	4	0	10	0
245	10339	17	0	70	0
246	10339	62	0	28	0
247	10340	18	0	20	0
248	10340	41	0	12	0
249	10340	43	0	40	0
250	10341	33	0	8	0
251	10341	59	0	9	0
252	10342	2	0	24	0
253	10342	31	0	56	0
254	10342	36	0	40	0
255	10342	55	0	40	0
256	10343	64	0	50	0
257	10343	68	0	4	0
258	10343	76	0	15	0
259	10344	4	0	35	0
260	10344	8	0	70	0
261	10345	8	0	70	0
262	10345	19	0	80	0
263	10345	42	0	9	0
264	10346	17	0	36	0
265	10346	56	0	20	0
266	10347	25	0	10	0
267	10347	39	0	50	0
268	10347	40	0	4	0
269	10347	75	0	6	0
270	10348	1	0	15	0
271	10348	23	0	25	0
272	10349	54	0	24	0
273	10350	50	0	15	0
274	10350	69	0	18	0
275	10351	38	0	20	0
276	10351	41	0	13	0
277	10351	44	0	77	0
278	10351	65	0	10	0
279	10352	24	0	10	0
280	10352	54	0	20	0
281	10353	11	0	12	0
282	10353	38	0	50	0
283	10354	1	0	12	0
284	10354	29	0	4	0
285	10355	24	0	25	0
286	10355	57	0	25	0
287	10356	31	0	30	0
288	10356	55	0	12	0
289	10356	69	0	20	0
290	10357	10	0	30	0
291	10357	26	0	16	0
292	10357	60	0	8	0
293	10358	24	0	10	0
294	10358	34	0	10	0
295	10358	36	0	20	0
296	10359	16	0	56	0
297	10359	31	0	70	0
298	10359	60	0	80	0
299	10360	28	0	30	0
300	10360	29	0	35	0
301	10360	38	0	10	0
302	10360	49	0	35	0
303	10360	54	0	28	0
304	10361	39	0	54	0
305	10361	60	0	55	0
306	10362	25	0	50	0
307	10362	51	0	20	0
308	10362	54	0	24	0
309	10363	31	0	20	0
310	10363	75	0	12	0
311	10363	76	0	12	0
312	10364	69	0	30	0
313	10364	71	0	5	0
314	10365	11	0	24	0
315	10366	65	0	5	0
316	10366	77	0	5	0
317	10367	34	0	36	0
318	10367	54	0	18	0
319	10367	65	0	15	0
320	10367	77	0	7	0
321	10368	21	0	5	0
322	10368	28	0	13	0
323	10368	57	0	25	0
324	10368	64	0	35	0
325	10369	29	0	20	0
326	10369	56	0	18	0
327	10370	1	0	15	0
328	10370	64	0	30	0
329	10370	74	0	20	0
330	10371	36	0	6	0
331	10372	20	0	12	0
332	10372	38	0	40	0
333	10372	60	0	70	0
334	10372	72	0	42	0
335	10373	58	0	80	0
336	10373	71	0	50	0
337	10374	31	0	30	0
